Data successfully loaded.
Epoch: [88/1000], Batch: [20/29], Loss: 2.0366, Acc: 8.7890625%
Epoch: [89/1000], Batch: [0/29], Loss: 2.0265, Acc: 10.7421875%
Epoch: [89/1000], Batch: [10/29], Loss: 2.0199, Acc: 9.5703125%
Epoch: [89/1000], Batch: [20/29], Loss: 2.0365, Acc: 8.7890625%
Epoch: [90/1000], Batch: [0/29], Loss: 2.0264, Acc: 10.7421875%
Epoch: [90/1000], Batch: [10/29], Loss: 2.0198, Acc: 9.5703125%
Epoch: [90/1000], Batch: [20/29], Loss: 2.0364, Acc: 8.7890625%
Epoch: [91/1000], Batch: [0/29], Loss: 2.0262, Acc: 10.7421875%
Epoch: [91/1000], Batch: [10/29], Loss: 2.0197, Acc: 9.5703125%
Epoch: [91/1000], Batch: [20/29], Loss: 2.0363, Acc: 8.7890625%
Epoch: [92/1000], Batch: [0/29], Loss: 2.0261, Acc: 10.7421875%
Epoch: [92/1000], Batch: [10/29], Loss: 2.0196, Acc: 9.5703125%
Epoch: [92/1000], Batch: [20/29], Loss: 2.0362, Acc: 8.7890625%
Epoch: [93/1000], Batch: [0/29], Loss: 2.0260, Acc: 10.7421875%
Epoch: [93/1000], Batch: [10/29], Loss: 2.0195, Acc: 9.5703125%
Epoch: [93/1000], Batch: [20/29], Loss: 2.0360, Acc: 8.7890625%
Epoch: [94/1000], Batch: [0/29], Loss: 2.0258, Acc: 10.7421875%
Epoch: [94/1000], Batch: [10/29], Loss: 2.0194, Acc: 9.5703125%
Epoch: [94/1000], Batch: [20/29], Loss: 2.0359, Acc: 8.7890625%
Epoch: [95/1000], Batch: [0/29], Loss: 2.0257, Acc: 10.7421875%
Epoch: [95/1000], Batch: [10/29], Loss: 2.0192, Acc: 9.5703125%
Epoch: [95/1000], Batch: [20/29], Loss: 2.0358, Acc: 8.7890625%
Epoch: [96/1000], Batch: [0/29], Loss: 2.0256, Acc: 10.7421875%
Epoch: [96/1000], Batch: [10/29], Loss: 2.0191, Acc: 9.5703125%
Epoch: [96/1000], Batch: [20/29], Loss: 2.0357, Acc: 8.7890625%
Epoch: [97/1000], Batch: [0/29], Loss: 2.0255, Acc: 10.7421875%
Epoch: [97/1000], Batch: [10/29], Loss: 2.0190, Acc: 9.5703125%
Epoch: [97/1000], Batch: [20/29], Loss: 2.0356, Acc: 8.7890625%
Epoch: [98/1000], Batch: [0/29], Loss: 2.0253, Acc: 10.7421875%
Epoch: [98/1000], Batch: [10/29], Loss: 2.0189, Acc: 9.5703125%
Epoch: [98/1000], Batch: [20/29], Loss: 2.0355, Acc: 8.7890625%
Epoch: [99/1000], Batch: [0/29], Loss: 2.0252, Acc: 10.7421875%
Epoch: [99/1000], Batch: [10/29], Loss: 2.0188, Acc: 9.5703125%
Epoch: [99/1000], Batch: [20/29], Loss: 2.0354, Acc: 8.7890625%
Epoch: [100/1000], Batch: [0/29], Loss: 2.0251, Acc: 10.7421875%
Epoch: [100/1000], Batch: [10/29], Loss: 2.0187, Acc: 9.5703125%
Epoch: [100/1000], Batch: [20/29], Loss: 2.0353, Acc: 8.7890625%
Epoch: [101/1000], Batch: [0/29], Loss: 2.0250, Acc: 10.7421875%
Epoch: [101/1000], Batch: [10/29], Loss: 2.0186, Acc: 9.5703125%
Epoch: [101/1000], Batch: [20/29], Loss: 2.0352, Acc: 8.7890625%
Epoch: [102/1000], Batch: [0/29], Loss: 2.0249, Acc: 10.7421875%
Epoch: [102/1000], Batch: [10/29], Loss: 2.0185, Acc: 9.5703125%
Epoch: [102/1000], Batch: [20/29], Loss: 2.0351, Acc: 8.7890625%
Epoch: [103/1000], Batch: [0/29], Loss: 2.0247, Acc: 10.7421875%
Epoch: [103/1000], Batch: [10/29], Loss: 2.0184, Acc: 9.5703125%
Epoch: [103/1000], Batch: [20/29], Loss: 2.0350, Acc: 8.7890625%
Epoch: [104/1000], Batch: [0/29], Loss: 2.0246, Acc: 10.7421875%
Epoch: [104/1000], Batch: [10/29], Loss: 2.0183, Acc: 9.5703125%
Epoch: [104/1000], Batch: [20/29], Loss: 2.0349, Acc: 8.7890625%
Epoch: [105/1000], Batch: [0/29], Loss: 2.0245, Acc: 10.7421875%
Epoch: [105/1000], Batch: [10/29], Loss: 2.0182, Acc: 9.5703125%
Epoch: [105/1000], Batch: [20/29], Loss: 2.0348, Acc: 8.7890625%
Epoch: [106/1000], Batch: [0/29], Loss: 2.0244, Acc: 10.7421875%
Epoch: [106/1000], Batch: [10/29], Loss: 2.0181, Acc: 9.5703125%
Epoch: [106/1000], Batch: [20/29], Loss: 2.0347, Acc: 8.7890625%
Epoch: [107/1000], Batch: [0/29], Loss: 2.0243, Acc: 10.7421875%
Epoch: [107/1000], Batch: [10/29], Loss: 2.0180, Acc: 9.5703125%
Epoch: [107/1000], Batch: [20/29], Loss: 2.0346, Acc: 8.7890625%
Epoch: [108/1000], Batch: [0/29], Loss: 2.0242, Acc: 10.7421875%
Epoch: [108/1000], Batch: [10/29], Loss: 2.0179, Acc: 9.5703125%
Epoch: [108/1000], Batch: [20/29], Loss: 2.0345, Acc: 8.7890625%
Epoch: [109/1000], Batch: [0/29], Loss: 2.0241, Acc: 10.7421875%
Epoch: [109/1000], Batch: [10/29], Loss: 2.0178, Acc: 9.5703125%
Epoch: [109/1000], Batch: [20/29], Loss: 2.0344, Acc: 8.7890625%
Epoch: [110/1000], Batch: [0/29], Loss: 2.0240, Acc: 10.7421875%
Epoch: [110/1000], Batch: [10/29], Loss: 2.0177, Acc: 9.5703125%
Epoch: [110/1000], Batch: [20/29], Loss: 2.0343, Acc: 8.7890625%
Epoch: [111/1000], Batch: [0/29], Loss: 2.0238, Acc: 10.7421875%
Epoch: [111/1000], Batch: [10/29], Loss: 2.0176, Acc: 9.5703125%
